position_id | created_at          |
|     2610309 | 2016-12-16 10:02:32 |
|     2278140 | 2016-12-16 10:04:08 |
|     2087648 | 2016-12-16 10:16:57 |
|     2654101 | 2016-12-16 10:39:16 |
|     2581829 | 2016-12-16 10:40:37 |
|     1303048 | 2016-12-16 11:05:02 |
|     2415274 | 2016-12-16 11:06:26 |
|     2664155 | 2016-12-16 11:08:35 |
|     2632512 | 2016-12-16 11:19:56 |
|     2635685 | 2016-12-16 11:27:27 |
|     2667303 | 2016-12-16 11:29:35 |
|     2015476 | 2016-12-16 12:17:31 |
|     2639132 | 2016-12-16 14:15:32 |
|     2303444 | 2016-12-16 14:26:08 |
|     2480186 | 2016-12-16 14:31:27 |
|     2282351 | 2016-12-16 14:35:36 |
|     2480236 | 2016-12-16 15:17:51 |
|     1264231 | 2016-12-16 15:50:00 |
|     2606245 | 2016-12-16 15:50:12 |
|     2569004 | 2016-12-16 15:51:52 |
|     2668088 | 2016-12-16 15:54:21 |
|     2668102 | 2016-12-16 15:56:15 |
|     2668120 | 2016-12-16 15:57:45 |
|     2313401 | 2016-12-16 16:16:10 |
|      940860 | 2016-12-16 16:52:04 |
|     2668101 | 2016-12-16 16:54:17 |
|     2635964 | 2016-12-16 17:04:35 |
|     1347693 | 2016-12-16 17:25:19 |
|      128379 | 2016-12-16 17:28:25 |
|     2336099 | 2016-12-16 17:33:48 |
|     2304716 | 2016-12-16 17:50:21 |
|     2529573 | 2016-12-16 17:56:47 |
|     2669042 | 2016-12-16 18:03:31 |
|     2312633 | 2016-12-16 18:05:52 |
|     2325559 | 2016-12-16 18:18:48 |
|     2376998 | 2016-12-16 19:56:21 |
|     2627202 | 2016-12-16 20:51:31 |
|     2262788 | 2016-12-16 21:12:12 |
|     2442704 | 2016-12-16 21:14:30 |
|     2617167 | 2016-12-16 21:15:18 |
|     2398533 | 2016-12-16 22:52:31 |
|     2663391 | 2016-12-17 09:43:25 |
|     2654515 | 2016-12-17 09:44:44 |
